,galex_objid,sdss_objid,ra,dec,u,g,r,i,z,nuv_mag,fuv_mag,classs,subclass
5440,3.23911E+18,1.23767E+18,179.4738525,31.50811027,22.04000282,21.06549072,20.85607147,20.90370369,20.63229942,23.94931602,-999,QSO,BROADLINE
5446,3.12951E+18,1.23767E+18,205.436015,30.87285756,21.0002594,20.3451519,19.86467361,19.33428764,19.00271034,23.04950523,23.30855751,QSO,BROADLINE
5455,6.37486E+18,1.23767E+18,181.9780481,31.31346692,21.73697281,21.32301712,21.17891693,21.31828117,20.50821686,21.70770264,-999,QSO,null
5456,6.37932E+18,1.23767E+18,204.4671958,32.08211523,21.27066422,20.87775421,20.68755722,20.82070732,20.99249268,22.67020226,-999,QSO,BROADLINE
5457,6.37489E+18,1.23767E+18,188.2247939,28.58301449,21.11482239,20.67259598,20.6273632,20.586689,20.83644867,21.78767586,-999,STAR,WDcooler
5461,3.15045E+18,1.23767E+18,186.7287923,29.13938938,21.9907589,21.09884834,21.15617943,21.27429199,20.87503242,23.71088791,-999,QSO,BROADLINE
5462,3.15045E+18,1.23767E+18,186.7359547,29.65000021,21.29219055,20.64583778,20.38096619,20.28891373,19.95376778,23.29849625,-999,STAR,F0III (89025)
5464,3.15045E+18,1.23767E+18,186.4258651,29.93778976,22.01473808,21.30131149,20.00926971,19.29494286,19.10357666,23.1760807,-999,QSO,AGN
5465,3.24309E+18,1.23767E+18,186.6534322,30.9050498,22.32920074,21.67118835,21.57562637,21.50529289,21.73329353,24.67437744,-999,QSO,BROADLINE
5468,6.37486E+18,1.23767E+18,187.4153374,30.31009701,20.92748642,20.06335068,20.1182003,20.16826057,19.68352509,20.527565,20.8686409,QSO,BROADLINE
5475,6.37486E+18,1.23767E+18,184.1636397,28.97672675,21.18110466,20.6098671,20.33525848,20.29197884,20.25040817,21.3121357,-999,STAR,A5II (34578)
5478,6.37887E+18,1.23767E+18,178.1877237,20.63103798,20.59398651,20.34687996,20.29362297,20.18601036,20.20753288,21.65247154,-999,QSO,BROADLINE
5483,6.37468E+18,1.23766E+18,181.1343964,37.96611119,20.30805969,19.84195518,19.71483612,19.41085625,19.32959175,21.01166916,21.47841263,QSO,BROADLINE
5489,3.0564E+18,1.23767E+18,181.7656205,30.70023779,20.90963554,20.38926506,20.53588104,20.35150337,19.88014221,22.88089943,-999,QSO,BROADLINE
